variable_name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
female,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026,B01001_026
male,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002,B01001_002
male_white,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002,B01001A_002
female_white,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017,B01001A_017
male_black,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002,B01001B_002
female_black,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017,B01001B_017
male_aian,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002,B01001C_002
female_aian,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017,B01001C_017
male_asian,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002,B01001D_002
female_asian,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017,B01001D_017
male_nhopi,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002,B01001E_002
female_nhopi,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017,B01001E_017
male_other,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002,B01001F_002
female_other,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017,B01001F_017
male_multi,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002,B01001G_002
female_multi,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017,B01001G_017
male_white_nohisp,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002,B01001H_002
female_white_nohisp,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017,B01001H_017
male_hisp,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002,B01001I_002
female_hisp,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017,B01001I_017
white,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002,B02001_002
black,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003,B02001_003
hisp,B03003_003,B03003_003,B03003_003,B03003_003,B03003_003,B03003_003,B03003_003,B03003_003,B03003_003,B03003_003,B03003_003,B03003_003,C03002_012,C03002_012,C03002_012,C03002_012
male_white_lths,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,C15002A_003,
male_white_lths_a,,,,,,,,,,,,,,,,B15002A_003
male_white_lths_b,,,,,,,,,,,,,,,,B15002A_004
male_white_hs,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,C15002A_004,B15002A_005
male_white_somecoll,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,C15002A_005,
male_white_somecoll_a,,,,,,,,,,,,,,,,B15002A_006
male_white_somecoll_b,,,,,,,,,,,,,,,,B15002A_007
male_white_collplus,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,C15002A_006,
male_white_collplus_a,,,,,,,,,,,,,,,,B15002A_008
male_white_collplus_b,,,,,,,,,,,,,,,,B15002A_009
female_white_lths,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,C15002A_008,
female_white_lths_a,,,,,,,,,,,,,,,,B15002A_011
female_white_lths_b,,,,,,,,,,,,,,,,B15002A_012
female_white_hs,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,C15002A_009,B15002A_013
female_white_somecoll,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,C15002A_010,
female_white_somecoll_a,,,,,,,,,,,,,,,,B15002A_014
female_white_somecoll_b,,,,,,,,,,,,,,,,B15002A_015
female_white_collplus,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,C15002A_011,
female_white_collplus_a,,,,,,,,,,,,,,,,B15002A_016
female_white_collplus_b,,,,,,,,,,,,,,,,B15002A_017
male_black_lths,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,C15002B_003,
male_black_lths_a,,,,,,,,,,,,,,,,B15002B_003
male_black_lths_b,,,,,,,,,,,,,,,,B15002B_004
male_black_hs,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,C15002B_004,B15002B_005
male_black_somecoll,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,C15002B_005,
male_black_somecoll_a,,,,,,,,,,,,,,,,B15002B_006
male_black_somecoll_b,,,,,,,,,,,,,,,,B15002B_007
male_black_collplus,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,C15002B_006,
male_black_collplus_a,,,,,,,,,,,,,,,,B15002B_008
male_black_collplus_b,,,,,,,,,,,,,,,,B15002B_009
female_black_lths,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,C15002B_008,
female_black_lths_a,,,,,,,,,,,,,,,,B15002B_011
female_black_lths_b,,,,,,,,,,,,,,,,B15002B_012
female_black_hs,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,C15002B_009,B15002B_013
female_black_somecoll,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,C15002B_010,
female_black_somecoll_a,,,,,,,,,,,,,,,,B15002B_014
female_black_somecoll_b,,,,,,,,,,,,,,,,B15002B_015
female_black_collplus,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,C15002B_011,
